paraid,LUGAR,Latitude,Longitude,Descricao,Tags
184,LAPEQ III,-10.6817957,-37.4355282,"Laboratório III de ecologia e conservação da biodiversidade.","Bloco C, Laboratório, Pesquisa"
197,Laboratório de preparação de matérias e magnetismo,-10.6816982,-37.4355510,"0","0, 0, 0"
199,LQD II,-10.6815407,-37.4355895,"0","0, 0, 0"
194,Laboratório de ensino de física ii,-10.6815716,-37.4355721,"0","0, 0, 0"
193,Sala de forno,-10.6815746,-37.4356127,"0","0, 0, 0"
196,Laboratório de ensino de física i,-10.6816046,-37.4356130,"0","0, 0, 0"
198,Sala de materiais,-10.6815829,-37.4355624,"0","0, 0, 0"
Sala C - Departamento de Biociências,-10.6819021,-37.4355289,"0","0, 0, 0"
hall departamento inferior,-10.6815707,-37.4364727,"0","0, 0, 0"
hall departamento superior,-10.6816049,-37.4364653,"0","0, 0, 0"
132,Laboratório informatica departamento de letras,-10.6815631,-37.4366336,"0","Bloco D, Laboratório, Letras"
167,Secretaria física,-10.6815453,-37.4366547,"Secretaria do Departamento de Física, localizada no Bloco D.","Bloco D, Secretaria, Física"
174,Sala Camilo bruno/Renato santos,-10.6815548,-37.4365287,"Sala dos professores Camilo Bruno e Renato Santos, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Física"
169,Sala Celso josé viana,-10.6814820,-37.4366339,"Sala do professor Celso José Viana, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Física"
171,Sala José Gerivaldo/Fabiano Rabelo,-10.6814626,-37.4365930,"Sala dos professores José Gerivaldo e Fabiano Rabelo, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Física"
173,Sala Adilmo Francisco/Tiago Nery,-10.6814781,-37.4365917,"Sala dos professores Adilmo Francisco e Tiago Nery, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Física"
176,Sala Luciara Benedita/Diógenes Reyes,-10.6814776,-37.4365892,"Sala dos professores Luciara Benedita e Diógenes Reyes, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Física"
170,Sala Cristiano Teles/Juliana Marcela,-10.6814646,-37.4364857,"Sala dos professores Cristiano Teles e Juliana Marcela, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Física"
175,Sala Antônio Vinícius/Alessandra Cabral,-10.6814557,-37.4364512,"Sala dos professores Antônio Vinícius e Alessandra Cabral, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Administração"
168,Sala Ivanilda Silva/Valdice Barbosa,-10.6814543,-37.4364510,"Sala das professoras Ivanilda Silva e Valdice Barbosa, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Administração"
166,Sala Daniele Monique/José Maxuel,-10.6814540,-37.4364505,"Sala dos professores Daniele Monique e José Maxuel, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Administração"
155,Sala Valdenira Meneses/Marcos Antônio,-10.6814547,-37.4364589,"Sala dos professores Valdenira Meneses e Marcos Antônio, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Administração"
156,Sala de estudos Administração,-10.681473,-37.436484,"Sala de estudos reservada para área de Administração","Bloco D, Corredor, Departamento, Administração"
172,Sala Cristiano Aprigio/Daniel Rodrigues,-10.681564,-37.436476,"Sala dos professores Cristiano Aprigio dos Santos e Daniel Rodrigues de Lira, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Geografia"
159,Sala Fabrícia de Oliveira/Larissa Monteiro,-10.681613,-37.436416,"Sala dos professores Fabricia de Oliveira Santos e Larissa Moneiro Rafael, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Geografia"
158,Sala Daniel Almeida/José Hunaldo,-10.681554,-37.436438,"Sala dos professores Daniel Almeida da Silva e José Hunaldo Lima, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Geografia"
160,Sala Josefa de Lisboa/Ana Rocha,-10.681606,-37.436427,"Sala dos professores Josefa de Lisboa Santos e Ana Rocha dos Santos, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Geografia"
162,Sala Oscar Alfredo/Marleide Maria,-10.6816115,-37.4363727,"Sala dos professores Oscar Alfredo Sobarzo Miño e Marleide Maria Santos Sergio, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Geografia"
161,Secretaria Geografia,-10.6815720,-37.4363345,"Secretaria do Departamento de Geografia, localizada no Bloco D.","Bloco D, Secretaria, Geografia"
163,laboratório informática geografia,-10.6815641,-37.4363308,"Laboratório de informática utilizado para a área de Geografia.","Bloco D, Departamento, Laboratório, Geografia"
